skill_id,skill_name,category,subcategory,skill_type,description,aliases,parent_skill,related_skills,difficulty,assessment_available,career_relevance,source,status,prerequisite_skills,taxonomy_version
SKL-0011,Java,Programming Languages,Programming Languages,Technical,Java is a programming languages skill used in programming languages and related professional or technical workflows.,Java programming,,C; C++; Python; JavaScript,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0012,Python,Programming Languages,Programming Languages,Technical,Python is a programming languages skill used in programming languages and related professional or technical workflows.,Python programming; Python 3,,Machine Learning; Data Analysis; Pandas; NumPy,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0013,JavaScript,Programming Languages,Programming Languages,Technical,JavaScript is a programming languages skill used in programming languages and related professional or technical workflows.,JS; Java Script,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0014,TypeScript,Programming Languages,Programming Languages,Technical,TypeScript is a programming languages skill used in programming languages and related professional or technical workflows.,TS,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0015,C#,Programming Languages,Programming Languages,Technical,C# is a programming languages skill used in programming languages and related professional or technical workflows.,C Sharp,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0016,Go,Programming Languages,Programming Languages,Technical,Go is a programming languages skill used in programming languages and related professional or technical workflows.,Golang,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0017,Rust,Programming Languages,Programming Languages,Technical,Rust is a programming languages skill used in programming languages and related professional or technical workflows.,Rust programming,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0018,Kotlin,Programming Languages,Programming Languages,Technical,Kotlin is a programming languages skill used in programming languages and related professional or technical workflows.,Kotlin programming,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0019,Swift,Programming Languages,Programming Languages,Technical,Swift is a programming languages skill used in programming languages and related professional or technical workflows.,Swift programming,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0020,PHP,Programming Languages,Programming Languages,Technical,PHP is a programming languages skill used in programming languages and related professional or technical workflows.,PHP programming,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0021,Ruby,Programming Languages,Programming Languages,Technical,Ruby is a programming languages skill used in programming languages and related professional or technical workflows.,Ruby programming,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0022,Dart,Programming Languages,Programming Languages,Technical,Dart is a programming languages skill used in programming languages and related professional or technical workflows.,Dart programming,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0023,R,Programming Languages,Programming Languages,Technical,R is a programming languages skill used in programming languages and related professional or technical workflows.,R programming,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0024,MATLAB,Programming Languages,Programming Languages,Technical,MATLAB is a programming languages skill used in programming languages and related professional or technical workflows.,MATLAB programming,,C; C++; Java; Python,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0025,HTML,Frontend Development,Web Markup,Technical,HTML is a web markup skill used in frontend development and related professional or technical workflows.,HTML5,,CSS; React; Angular; Vue.js,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0026,CSS,Frontend Development,Web Styling,Technical,CSS is a web styling skill used in frontend development and related professional or technical workflows.,CSS3,,HTML; React; Angular; Vue.js,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0027,React,Frontend Development,Frontend Frameworks,Technical,React is a frontend frameworks skill used in frontend development and related professional or technical workflows.,React.js; ReactJS,,JavaScript; TypeScript; HTML; CSS; State Management,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,JavaScript; HTML; CSS,SkillSync v1.1
SKL-0028,Angular,Frontend Development,Frontend Frameworks,Technical,Angular is a frontend frameworks skill used in frontend development and related professional or technical workflows.,AngularJS; Angular,,HTML; CSS; React; Vue.js,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0029,Vue.js,Frontend Development,Frontend Frameworks,Technical,Vue.js is a frontend frameworks skill used in frontend development and related professional or technical workflows.,Vue; VueJS,,HTML; CSS; React; Angular,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0030,Next.js,Frontend Development,Full-Stack React Frameworks,Technical,Next.js is a full-stack react frameworks skill used in frontend development and related professional or technical workflows.,NextJS,,HTML; CSS; React; Angular,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,React; JavaScript,SkillSync v1.1
SKL-0031,Tailwind CSS,Frontend Development,CSS Frameworks,Technical,Tailwind CSS is a css frameworks skill used in frontend development and related professional or technical workflows.,Tailwind,,HTML; CSS; React; Angular,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0032,Responsive Web Design,Frontend Development,Web Frontend,Technical,Responsive Web Design is a web frontend skill used in frontend development and related professional or technical workflows.,Responsive design,,HTML; CSS; React; Angular,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0033,Web Accessibility,Frontend Development,Web Frontend,Technical,Web Accessibility is a web frontend skill used in frontend development and related professional or technical workflows.,Accessibility; a11y,,HTML; CSS; React; Angular,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0034,State Management,Frontend Development,Web Frontend,Technical,State Management is a web frontend skill used in frontend development and related professional or technical workflows.,Frontend state management,,HTML; CSS; React; Angular,Intermediate,Planned,Frontend Developer; Full-Stack Developer; UI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0035,Node.js,Backend Development,Server-Side Development,Technical,Node.js is a server-side development skill used in backend development and related professional or technical workflows.,Node; NodeJS,,Express.js; Spring Boot; Django; Flask,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0036,Express.js,Backend Development,Server-Side Development,Technical,Express.js is a server-side development skill used in backend development and related professional or technical workflows.,Express; ExpressJS,Node.js,Node.js; Spring Boot; Django; Flask,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0037,Spring Boot,Backend Development,Server-Side Development,Technical,Spring Boot is a server-side development skill used in backend development and related professional or technical workflows.,SpringBoot,,Java; REST API; Microservices; SQL; Docker,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,Java,SkillSync v1.1
SKL-0038,Django,Backend Development,Server-Side Development,Technical,Django is a server-side development skill used in backend development and related professional or technical workflows.,Django framework,,Node.js; Express.js; Spring Boot; Flask,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0039,Flask,Backend Development,Server-Side Development,Technical,Flask is a server-side development skill used in backend development and related professional or technical workflows.,Flask framework,,Node.js; Express.js; Spring Boot; Django,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0040,FastAPI,Backend Development,Server-Side Development,Technical,FastAPI is a server-side development skill used in backend development and related professional or technical workflows.,Fast API,,Node.js; Express.js; Spring Boot; Django,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0041,REST API,Backend Development,API Development,Technical,REST API is a api development skill used in backend development and related professional or technical workflows.,REST; RESTful API,,Node.js; Express.js; Spring Boot; Django,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0042,GraphQL,Backend Development,API Development,Technical,GraphQL is a api development skill used in backend development and related professional or technical workflows.,GraphQL API,Backend Development,Node.js; Express.js; Spring Boot; Django,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0043,Microservices,Backend Development,Distributed Backend Architecture,Technical,Microservices is a distributed backend architecture skill used in backend development and related professional or technical workflows.,Microservice architecture,Backend Development,Node.js; Express.js; Spring Boot; Django,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,REST API; Backend Development,SkillSync v1.1
SKL-0044,Authentication,Backend Development,Identity & Access,Technical,Authentication is a identity & access skill used in backend development and related professional or technical workflows.,User authentication,,Node.js; Express.js; Spring Boot; Django,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0045,Authorization,Backend Development,Identity & Access,Technical,Authorization is a identity & access skill used in backend development and related professional or technical workflows.,Access control,Authentication,Node.js; Express.js; Spring Boot; Django,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0046,API Security,Backend Development,Application Security,Technical,API Security is a application security skill used in backend development and related professional or technical workflows.,API security,Application Security,Node.js; Express.js; Spring Boot; Django,Intermediate,Planned,Backend Developer; Full-Stack Developer; Software Engineer; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0047,SQL,Databases,Relational Databases,Technical,SQL is a relational databases skill used in databases and related professional or technical workflows.,Structured Query Language,,Database Design; Database Normalization; Query Optimization; MySQL; PostgreSQL,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,Database Concepts,SkillSync v1.1
SKL-0048,MySQL,Databases,Relational Databases,Technical,MySQL is a relational databases skill used in databases and related professional or technical workflows.,My SQL,,SQL; PostgreSQL; Oracle Database; Microsoft SQL Server,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0049,PostgreSQL,Databases,Relational Databases,Technical,PostgreSQL is a relational databases skill used in databases and related professional or technical workflows.,Postgres,,SQL; MySQL; Oracle Database; Microsoft SQL Server,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0050,Oracle Database,Databases,Relational Databases,Technical,Oracle Database is a relational databases skill used in databases and related professional or technical workflows.,Oracle DB; Oracle,,SQL; MySQL; PostgreSQL; Microsoft SQL Server,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0051,Microsoft SQL Server,Databases,Relational Databases,Technical,Microsoft SQL Server is a relational databases skill used in databases and related professional or technical workflows.,SQL Server; MSSQL,,SQL; MySQL; PostgreSQL; Oracle Database,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0052,MongoDB,Databases,NoSQL Databases,Technical,MongoDB is a nosql databases skill used in databases and related professional or technical workflows.,Mongo,,SQL; MySQL; PostgreSQL; Oracle Database,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0053,Redis,Databases,Caching & NoSQL,Technical,Redis is a caching & nosql skill used in databases and related professional or technical workflows.,Redis database,,SQL; MySQL; PostgreSQL; Oracle Database,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0054,Database Design,Databases,Database Architecture,Technical,Database Design is a database architecture skill used in databases and related professional or technical workflows.,DB design,,SQL; MySQL; PostgreSQL; Oracle Database,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0055,Database Normalization,Databases,Relational Database Design,Technical,Database Normalization is a relational database design skill used in databases and related professional or technical workflows.,Normalization,Database Design,SQL; MySQL; PostgreSQL; Oracle Database,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,SQL; Database Design,SkillSync v1.1
SKL-0056,Database Transactions,Databases,Database Reliability,Technical,Database Transactions is a database reliability skill used in databases and related professional or technical workflows.,Transactions,Database Design,SQL; MySQL; PostgreSQL; Oracle Database,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0057,Database Indexing,Databases,Database Performance,Technical,Database Indexing is a database performance skill used in databases and related professional or technical workflows.,Indexing,Database Design,SQL; MySQL; PostgreSQL; Oracle Database,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0058,Query Optimization,Databases,Database Performance,Technical,Query Optimization is a database performance skill used in databases and related professional or technical workflows.,SQL optimization,Database Design,SQL; MySQL; PostgreSQL; Oracle Database,Intermediate,Planned,Backend Developer; Data Engineer; Software Engineer; Data Scientist; Cloud Engineer,SkillSync initial taxonomy,Active,SQL; Database Indexing,SkillSync v1.1
SKL-0059,Artificial Intelligence,AI & Machine Learning,Artificial Intelligence & Machine Learning,Technical,Artificial Intelligence is a artificial intelligence & machine learning skill used in ai & machine learning and related professional or technical workflows.,AI,,Machine Learning; Deep Learning; Supervised Learning; Unsupervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0060,Machine Learning,AI & Machine Learning,Machine Learning,Technical,Methods that enable systems to learn patterns from data and make predictions or decisions.,ML,,Python; Statistics; Feature Engineering; Model Evaluation; Deep Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Statistics; Probability,SkillSync v1.1
SKL-0061,Deep Learning,AI & Machine Learning,Deep Learning,Technical,Machine learning based on multi-layer neural networks for learning complex representations.,DL,,Machine Learning; Neural Networks; Transformers; Computer Vision; Natural Language Processing,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Machine Learning,SkillSync v1.1
SKL-0062,Supervised Learning,AI & Machine Learning,Artificial Intelligence & Machine Learning,Technical,Supervised Learning is a artificial intelligence & machine learning skill used in ai & machine learning and related professional or technical workflows.,Supervised ML,Machine Learning,Artificial Intelligence; Machine Learning; Deep Learning; Unsupervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0063,Unsupervised Learning,AI & Machine Learning,Artificial Intelligence & Machine Learning,Technical,Unsupervised Learning is a artificial intelligence & machine learning skill used in ai & machine learning and related professional or technical workflows.,Unsupervised ML,Machine Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0064,Reinforcement Learning,AI & Machine Learning,Artificial Intelligence & Machine Learning,Technical,Reinforcement Learning is a artificial intelligence & machine learning skill used in ai & machine learning and related professional or technical workflows.,RL,Machine Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Probability; Machine Learning,SkillSync v1.1
SKL-0065,Feature Engineering,AI & Machine Learning,Artificial Intelligence & Machine Learning,Technical,Feature Engineering is a artificial intelligence & machine learning skill used in ai & machine learning and related professional or technical workflows.,Feature extraction,Machine Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Data Analysis; Machine Learning,SkillSync v1.1
SKL-0066,Model Evaluation,AI & Machine Learning,Artificial Intelligence & Machine Learning,Technical,Model Evaluation is a artificial intelligence & machine learning skill used in ai & machine learning and related professional or technical workflows.,ML model evaluation,Machine Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Statistics; Machine Learning,SkillSync v1.1
SKL-0067,Neural Networks,AI & Machine Learning,Artificial Intelligence & Machine Learning,Technical,Neural Networks is a artificial intelligence & machine learning skill used in ai & machine learning and related professional or technical workflows.,Artificial neural networks; ANN,Deep Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0068,Computer Vision,AI & Machine Learning,Computer Vision,Technical,Computer Vision is a computer vision skill used in ai & machine learning and related professional or technical workflows.,CV,Deep Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Machine Learning; Deep Learning,SkillSync v1.1
SKL-0069,Natural Language Processing,AI & Machine Learning,NLP,Technical,"Techniques for enabling computers to analyze, understand, and generate human language.",NLP,Deep Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Machine Learning,SkillSync v1.1
SKL-0070,Generative AI,AI & Machine Learning,Generative AI,Technical,"AI techniques that generate new text, images, audio, code, or other content from learned patterns.",GenAI,Artificial Intelligence,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Machine Learning,SkillSync v1.1
SKL-0071,Large Language Models,AI & Machine Learning,Generative AI,Technical,Large neural language models trained to understand and generate natural-language and code sequences.,LLM; Large Language Model,Generative AI,Generative AI; Transformers; Embeddings; Prompt Engineering,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Deep Learning; Transformers,SkillSync v1.1
SKL-0072,Prompt Engineering,AI & Machine Learning,Generative AI,Technical,Designing and refining instructions that guide generative AI models toward useful and reliable outputs.,Prompt design,Generative AI,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0073,Retrieval-Augmented Generation,AI & Machine Learning,Generative AI,Technical,A method that combines information retrieval with generation so an AI model can use external knowledge when producing answers.,RAG,Large Language Models,Large Language Models; Embeddings; Vector Databases; Natural Language Processing,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Large Language Models; Embeddings; Vector Databases,SkillSync v1.1
SKL-0074,Embeddings,AI & Machine Learning,Generative AI & Representation Learning,Technical,"Numerical vector representations used to capture semantic relationships between text, data, or other objects.",Vector embeddings,Machine Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Machine Learning,SkillSync v1.1
SKL-0075,Vector Databases,AI & Machine Learning,Generative AI Infrastructure,Technical,Databases optimized for storing and searching high-dimensional vector representations.,Vector DB,Retrieval-Augmented Generation,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Embeddings; Database Design,SkillSync v1.1
SKL-0076,Fine-tuning,AI & Machine Learning,Generative AI,Technical,Adapting a pretrained model to a specialized task or domain using additional training data.,Model fine tuning,Large Language Models,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Deep Learning; Large Language Models,SkillSync v1.1
SKL-0077,Transformers,AI & Machine Learning,Deep Learning & NLP,Technical,Neural network architectures that use attention mechanisms to process sequences and learn contextual relationships.,Transformer architecture,Deep Learning,Artificial Intelligence; Machine Learning; Deep Learning; Supervised Learning,Intermediate,Planned,AI Engineer; ML Engineer; Data Scientist; NLP Engineer; Computer Vision Engineer,SkillSync initial taxonomy,Active,Python; Deep Learning,SkillSync v1.1
SKL-0078,Statistics,Data Science,Statistics,Technical,Statistics is a statistics skill used in data science and related professional or technical workflows.,Statistical analysis,,Probability; Data Analysis; Data Visualization; NumPy,Intermediate,Planned,Data Scientist; ML Engineer; Data Analyst; AI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0079,Probability,Data Science,Statistics,Technical,Probability is a statistics skill used in data science and related professional or technical workflows.,Probability theory,,Statistics; Data Analysis; Data Visualization; NumPy,Intermediate,Planned,Data Scientist; ML Engineer; Data Analyst; AI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0080,Data Analysis,Data Science,Data Analytics,Technical,Data Analysis is a data analytics skill used in data science and related professional or technical workflows.,Data analytics,,Statistics; Probability; Data Visualization; NumPy,Intermediate,Planned,Data Scientist; ML Engineer; Data Analyst; AI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0081,Data Visualization,Data Science,Data Visualization,Technical,Data Visualization is a data visualization skill used in data science and related professional or technical workflows.,Data viz,,Statistics; Probability; Data Analysis; NumPy,Intermediate,Planned,Data Scientist; ML Engineer; Data Analyst; AI Engineer,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0082,NumPy,Data Science,Python Data Science,Technical,NumPy is a python data science skill used in data science and related professional or technical workflows.,Numerical Python,Data Analysis,Statistics; Probability; Data Analysis; Data Visualization,Intermediate,Planned,Data Scientist; ML Engineer; Data Analyst; AI Engineer,SkillSync initial taxonomy,Active,Python,SkillSync v1.1
